"codigo_ibge","inicio_cep","fim_cep"
5200050,"75345000","75349999"
3100104,"38540000","38549999"
5200100,"72940000","72959999"
3100203,"35620000","35620999"
1500107,"68440000","68444999"
2300101,"63240000","63249999"
2900108,"46690000","46699999"
2900207,"48680000","48699999"
4100103,"86460000","86464999"
4200051,"89636000","89637999"
1500131,"68527000","68529999"
4200101,"89830000","89831999"
3100302,"35365000","35366999"
2600054,"53500001","53599999"
1700251,"77693000","77694999"
3100401,"35438000","35438999"
2100055,"65930000","65934999"
2900306,"48360000","48369999"
1500206,"68690000","68694999"
2300150,"62785000","62789999"
2300200,"62580000","62589999"
2400109,"59370000","59373999"
2200053,"64748000","64749999"
4300034,"96445000","96449999"
2300309,"63560000","63569999"
5100102,"78480000","78489999"
1200013,"69945000","69949999"
5200134,"75960000","75969999"
2400208,"59650000","59654999"
3100500,"35147000","35147999"
3500105,"17800000","17809999"
5200159,"76155000","76159999"
3500204,"15230000","15239999"
4100202,"83490000","83499999"
2900355,"48435000","48439999"
2600104,"56800000","56819999"
2400307,"59510000","59512999"
3200102,"29600000","29614999"
2100105,"65505000","65509999"
2600203,"56360000","56379999"
1500305,"68890000","68899999"
2600302,"55495000","55499999"
2200103,"64440000","64444999"
4200200,"88420000","88429999"
4200309,"89188000","89189999"
1500347,"68533000","68534999"
3100609,"39790000","39794999"
5100201,"78635000","78637999"
2700102,"57490000","57499999"
2500106,"58748000","58749999"
2200202,"64460000","64464999"
5000203,"79680000","79689999"
3100708,"38110000","38119999"
4200408,"89654000","89659999"
2100154,"65578000","65579999"
3200169,"29820000","29829999"
2900405,"48170000","48179999"
5200175,"73780000","73789999"
5200209,"75665000","75669999"
2400406,"59995000","59999999"
2600401,"55550000","55554999"
4300059,"99965000","99969999"
3500303,"13860000","13869999"
3100807,"37273000","37274999"
2600500,"55340000","55344999"
3500402,"13890000","13899999"
4200507,"89883000","89884999"
3500501,"13940000","13949999"
3500550,"18770000","18774999"
3500600,"13525000","13529999"
3100906,"39880000","39884999"
4200556,"89843000","89844999"
5200258,"72910001","72929999"
4200606,"88150000","88159999"
3101003,"39990000","39994999"
4300109,"96540000","96544999"
3500709,"17120000","17149999"
4100301,"83850000","83859999"
3200136,"29795000","29799999"
2500205,"58778000","58779999"
1700301,"77908000","77909999"
3101102,"35200000","35219999"
2900603,"45220000","45224999"
2300408,"63575000","63579999"
3101201,"37450000","37451999"
4300208,"98750000","98757999"
3101300,"37458000","37459999"
2500304,"58388000","58389999"
2500403,"58125000","58127999"
2500502,"58390000","58392999"
2600609,"55260000","55269999"
2200251,"64655000","64659999"
2900702,"48000001","48107999"
3500758,"18220000","18224999"
3101409,"37596000","37599999"
2100204,"65250000","65254999"
2300507,"62120000","62129999"
2500536,"58460000","58462999"
