"nome_uf","nome_mesorregiao","nome_microrregiao","nome_municipio","codigo_ibge_uf","codigo_ibge_municipio","codigo_ibge","codigo_siafi"
"Rondônia","Leste Rondoniense","Cacoal","ALTA FLORESTA D'OESTE","11","00015","1100015","0033"
"Rondônia","Leste Rondoniense","Cacoal","ALTO ALEGRE DOS PARECIS","11","00379","1100379","0002"
"Rondônia","Leste Rondoniense","Ariquemes","ALTO PARAÍSO","11","00403","1100403","0675"
"Rondônia","Leste Rondoniense","Alvorada D'Oeste","ALVORADA D'OESTE","11","00346","1100346","0035"
"Rondônia","Leste Rondoniense","Ariquemes","ARIQUEMES","11","00023","1100023","0007"
"Rondônia","Madeira-Guaporé","Porto Velho","BURITIS","11","00452","1100452","0004"
"Rondônia","Leste Rondoniense","Colorado do Oeste","CABIXI","11","00031","1100031","0037"
"Rondônia","Leste Rondoniense","Ariquemes","CACAULÂNDIA","11","00601","1100601","0677"
"Rondônia","Leste Rondoniense","Cacoal","CACOAL","11","00049","1100049","0009"
"Rondônia","Madeira-Guaporé","Porto Velho","CAMPO NOVO DE RONDÔNIA","11","00700","1100700","0679"
"Rondônia","Madeira-Guaporé","Porto Velho","CANDEIAS DO JAMARI","11","00809","1100809","0681"
"Rondônia","Leste Rondoniense","Cacoal","CASTANHEIRAS","11","00908","1100908","0691"
"Rondônia","Leste Rondoniense","Colorado do Oeste","CEREJEIRAS","11","00056","1100056","0027"
"Rondônia","Leste Rondoniense","Vilhena","CHUPINGUAIA","11","00924","1100924","0006"
"Rondônia","Leste Rondoniense","Colorado do Oeste","COLORADO DO OESTE","11","00064","1100064","0023"
"Rondônia","Leste Rondoniense","Colorado do Oeste","CORUMBIARA","11","00072","1100072","0981"
"Rondônia","Madeira-Guaporé","Guajará-Mirim","COSTA MARQUES","11","00080","1100080","0021"
"Rondônia","Madeira-Guaporé","Porto Velho","CUJUBIM","11","00940","1100940","0008"
"Rondônia","Leste Rondoniense","Cacoal","ESPIGÃO D'OESTE","11","00098","1100098","0025"
"Rondônia","Leste Rondoniense","Ji-Paraná","GOVERNADOR JORGE TEIXEIRA","11","01005","1101005","0693"
"Rondônia","Madeira-Guaporé","Guajará-Mirim","GUAJARÁ-MIRIM","11","00106","1100106","0001"
"Rondônia","Madeira-Guaporé","Porto Velho","ITAPUÃ DO OESTE","11","01104","1101104","0683"
"Rondônia","Leste Rondoniense","Ji-Paraná","JARU","11","00114","1100114","0015"
"Rondônia","Leste Rondoniense","Ji-Paraná","JI-PARANÁ","11","00122","1100122","0005"
"Rondônia","Leste Rondoniense","Ariquemes","MACHADINHO D'OESTE","11","00130","1100130","0039"
